,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:27:04+00:00,-17.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:05+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:06+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:07+00:00,-17.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:08+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:09+00:00,-17.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:10+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:11+00:00,-18.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:12+00:00,-17.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:13+00:00,-17.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:14+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:15+00:00,-16.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:16+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:17+00:00,-17.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:18+00:00,-17.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:19+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:20+00:00,-17.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
