datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:24:49,245709,>Range,>Range,>Range,,
10/21/21 18:24:50,245626,>Range,>Range,>Range,,
10/21/21 18:24:51,245243,>Range,>Range,>Range,,
10/21/21 18:24:52,245189,>Range,>Range,>Range,,
10/21/21 18:24:53,245235,>Range,>Range,>Range,,
10/21/21 18:24:54,245433,>Range,>Range,>Range,,
10/21/21 18:24:55,245509,>Range,>Range,>Range,,
10/21/21 18:24:56,245124,>Range,>Range,>Range,,
10/21/21 18:24:57,244888,>Range,>Range,>Range,,
10/21/21 18:24:58,244683,>Range,>Range,>Range,,
10/21/21 18:24:59,244478,>Range,>Range,>Range,,
10/21/21 18:25:00,244259,>Range,>Range,>Range,,
10/21/21 18:25:01,244178,>Range,>Range,>Range,,
10/21/21 18:25:02,244087,>Range,>Range,>Range,,
10/21/21 18:25:03,243883,>Range,>Range,>Range,,
10/21/21 18:25:04,243537,>Range,>Range,>Range,,
10/21/21 18:25:05,243436,>Range,>Range,>Range,,
10/21/21 18:25:06,243693,>Range,>Range,>Range,,
10/21/21 18:25:07,243605,>Range,>Range,>Range,,
10/21/21 18:25:08,243538,>Range,>Range,>Range,,
10/21/21 18:25:09,243934,>Range,>Range,>Range,,
10/21/21 18:25:10,243909,>Range,>Range,>Range,,
10/21/21 18:25:11,243819,>Range,>Range,>Range,,
10/21/21 18:25:12,243757,>Range,>Range,>Range,,
10/21/21 18:25:13,243532,>Range,>Range,>Range,,
10/21/21 18:25:14,243662,>Range,>Range,>Range,,
10/21/21 18:25:15,243801,>Range,>Range,>Range,,
10/21/21 18:25:16,243732,>Range,>Range,>Range,,
10/21/21 18:25:17,243513,>Range,>Range,>Range,,
10/21/21 18:25:18,243392,>Range,>Range,>Range,,
10/21/21 18:25:19,243526,>Range,>Range,>Range,,
10/21/21 18:25:20,243685,>Range,>Range,>Range,,
10/21/21 18:25:21,243515,>Range,>Range,>Range,,
10/21/21 18:25:22,243086,>Range,>Range,>Range,,
10/21/21 18:25:23,242413,>Range,>Range,>Range,,
10/21/21 18:25:24,242121,>Range,>Range,>Range,,
10/21/21 18:25:25,241940,>Range,>Range,>Range,,
10/21/21 18:25:26,242036,>Range,>Range,>Range,,
10/21/21 18:25:27,242218,>Range,>Range,>Range,,
10/21/21 18:25:28,242295,>Range,>Range,>Range,,
10/21/21 18:25:29,242537,>Range,>Range,>Range,,
10/21/21 18:25:30,243024,>Range,>Range,>Range,,
10/21/21 18:25:31,243205,>Range,>Range,>Range,,
10/21/21 18:25:32,243039,>Range,>Range,>Range,,
10/21/21 18:25:33,242993,>Range,>Range,>Range,,
