timestamp,g per s
10/20/2021 17:52:08,3.458
10/20/2021 17:52:09,3.4584
10/20/2021 17:52:10,3.4592
10/20/2021 17:52:11,3.4606
10/20/2021 17:52:12,3.4626
10/20/2021 17:52:13,3.4644
10/20/2021 17:52:14,3.4646
10/20/2021 17:52:15,3.4635
10/20/2021 17:52:16,3.4629
10/20/2021 17:52:17,3.4627
10/20/2021 17:52:18,3.4629
10/20/2021 17:52:19,3.4625
10/20/2021 17:52:20,3.4613
10/20/2021 17:52:21,3.4593
10/20/2021 17:52:22,3.457
10/20/2021 17:52:23,3.4548
10/20/2021 17:52:24,3.4519
10/20/2021 17:52:25,3.4502
10/20/2021 17:52:26,3.4493
10/20/2021 17:52:27,3.4496
10/20/2021 17:52:28,3.4508
10/20/2021 17:52:29,3.4518
10/20/2021 17:52:30,3.4523
10/20/2021 17:52:31,3.4528
10/20/2021 17:52:32,3.4538
10/20/2021 17:52:33,3.4551
10/20/2021 17:52:34,3.4551
10/20/2021 17:52:35,3.4547
10/20/2021 17:52:36,3.4545
10/20/2021 17:52:37,3.4541
10/20/2021 17:52:38,3.4537
10/20/2021 17:52:39,3.4536
10/20/2021 17:52:40,3.4538
10/20/2021 17:52:41,3.454
10/20/2021 17:52:42,3.4541
10/20/2021 17:52:43,3.4547
10/20/2021 17:52:44,3.4553
10/20/2021 17:52:45,3.4556
10/20/2021 17:52:46,3.456
10/20/2021 17:52:47,3.4566
10/20/2021 17:52:48,3.4555
10/20/2021 17:52:49,3.4541
10/20/2021 17:52:50,3.453
10/20/2021 17:52:51,3.4523
10/20/2021 17:52:52,3.4523
10/20/2021 17:52:53,3.4522
10/20/2021 17:52:54,3.4514
10/20/2021 17:52:55,3.4508
10/20/2021 17:52:56,3.4496
10/20/2021 17:52:57,3.4475
10/20/2021 17:52:58,3.4462
10/20/2021 17:52:59,3.4458
10/20/2021 17:53:00,3.4433
10/20/2021 17:53:01,3.4418
10/20/2021 17:53:02,3.4401
10/20/2021 17:53:03,3.4388
10/20/2021 17:53:04,3.4389
10/20/2021 17:53:05,3.4389
10/20/2021 17:53:06,3.4384
10/20/2021 17:53:07,3.4383
10/20/2021 17:53:08,3.4384
10/20/2021 17:53:09,3.4393
10/20/2021 17:53:10,3.4416
10/20/2021 17:53:11,3.4436
10/20/2021 17:53:12,3.446
10/20/2021 17:53:13,3.4479
10/20/2021 17:53:14,3.4498
10/20/2021 17:53:15,3.4513
10/20/2021 17:53:16,3.4513
10/20/2021 17:53:17,3.4502
10/20/2021 17:53:18,3.4491
10/20/2021 17:53:19,3.4488
10/20/2021 17:53:20,3.4491
10/20/2021 17:53:21,3.4503
10/20/2021 17:53:22,3.4512
10/20/2021 17:53:23,3.451
10/20/2021 17:53:24,3.4511
10/20/2021 17:53:25,3.4514
10/20/2021 17:53:26,3.4521
10/20/2021 17:53:27,3.4526
10/20/2021 17:53:28,3.4522
10/20/2021 17:53:29,3.4517
10/20/2021 17:53:30,3.4502
10/20/2021 17:53:31,3.4489
10/20/2021 17:53:32,3.4481
10/20/2021 17:53:33,3.4471
10/20/2021 17:53:34,3.4464
10/20/2021 17:53:35,3.4456
10/20/2021 17:53:36,3.4452
10/20/2021 17:53:37,3.4448
10/20/2021 17:53:38,3.4457
10/20/2021 17:53:39,3.447
